MARIN Stock Wind Turbine AG04 Mod Airfoil		
Coefficients obtained as documented in ISOPE 2015-TPC-0174	
1	Number of airfoil tables in this file	
0	Table ID parameter	
0.0	No longer used, enter zero		
0.0     	No longer used, enter zero		
0.0      	No longer used, enter zero		
6.00     	Stall angle (deg)		
-0.7360   	Zero Cn angle of attack (deg)		
6.5004   	Cn slope for zero lift (dimensionless)		
0.7642   	Cn extrapolated to value at positive stall angle of attack	
-0.8000  	Cn at stall value for negative angle of attack		
-0.50     	Angle of attack for minimum CD (deg)		
0.0218   	Minimum CD value		
-180	0.0000	0.0625
-170	0.4660	0.0993
-160	0.4280	0.2053
-150	0.4650	0.3674
-140	0.4840	0.5656
-130	0.4620	0.7755
-120	0.3960	0.9710
-110	0.2890	1.1278
-100	0.1520	1.2261
-90	0.0000	1.2530
-80	-0.1692	1.2261
-70	-0.3193	1.1278
-60	-0.4360	0.9710
-50	-0.5087	0.7755
-40	-0.5350	0.5656
-30	-0.5184	0.3674
-20	-0.4825	0.2053
-10	-0.5208	0.0992
-9.0	-0.5199	0.0880
-8.0	-0.5166	0.0765
-7.0	-0.5100	0.0650
-6.0	-0.4993	0.0537
-5.0	-0.4838	0.0428
-4.5	-0.4277	0.0378
-4.0	-0.3713	0.0341
-3.5	-0.3149	0.0310
-3.0	-0.2584	0.0285
-2.5	-0.2017	0.0265
-2.0	-0.1451	0.0249
-1.5	-0.0883	0.0237
-1.0	-0.0314	0.0228
-0.5	0.0255	0.0218
0.0	0.0824	0.0221
0.5	0.1393	0.0220
1.0	0.1963	0.0221
1.5	0.2532	0.0224
2.0	0.3101	0.0231
2.5	0.3669	0.0239
3.0	0.4237	0.0252
3.5	0.4804	0.0265
4.0	0.5370	0.0282
4.5	0.5935	0.0305
5.0	0.6500	0.0338
5.5	0.7063	0.0382
6.0	0.7625	0.0422
6.5	0.7619	0.0495
7.0	0.7603	0.0625
7.5	0.7579	0.0807
8.0	0.7544	0.0926
8.5	0.7500	0.1019
9.0	0.7456	0.1099
9.5	0.7423	0.1179
10	0.7410	0.1270
11	0.7482	0.1482
12	0.7679	0.1708
13	0.7970	0.1946
14	0.8322	0.2191
15	0.8706	0.2441
16	0.9090	0.2693
17	0.9442	0.2943
18	0.9733	0.3188
19	0.9930	0.3425
20	1.0002	0.3650
25	0.9534	0.4683
30	0.8794	0.5668
35	0.8284	0.6597
40	0.7807	0.7487
45	0.7354	0.8359
50	0.6890	0.9183
60	0.5803	1.0627
70	0.4187	1.1705
80	0.2183	1.2351
90	0.0000	1.2530
100	-0.1520	1.2261
110	-0.2890	1.1278
120	-0.3960	0.9710
130	-0.4620	0.7755
140	-0.4840	0.5656
150	-0.4650	0.3674
160	-0.4280	0.2053
170	-0.4660	0.0993
180	0.0000	0.0625

